,Market_Segment,Vertical_Market,Region,Net_Price,buys_both
0,COMMERCIAL,Professional Services,GEO_1,5.849840781,1
1,PUBLIC SECTOR,Government,GEO_1,5.847366417666667,0
2,ENTERPRISE,Government,GEO_1,5.84596999,0
3,PUBLIC SECTOR,Financial Services,GEO_1,5.842461333666667,1
4,ENTERPRISE,Professional Services,GEO_1,5.841324165,0
5,PUBLIC SECTOR,Unknown,GEO_1,5.840532606,0
6,PUBLIC SECTOR,Education- Public/Private,GEO_2,5.838741311,0
7,PUBLIC SECTOR,Education- Public/Private,GEO_2,5.830128110714286,0
8,PUBLIC SECTOR,Government,GEO_2,5.827537061,0
9,PUBLIC SECTOR,Health Care,GEO_1,5.8249970145,0
10,COMMERCIAL,Professional Services,GEO_1,5.823467524666667,1
11,SERVICE PROVIDER,Service Provider,GEO_1,5.82118056,0
12,PUBLIC SECTOR,Unknown,GEO_1,5.821099101,0
13,PUBLIC SECTOR,Government,GEO_2,5.817856603,0
14,COMMERCIAL,Unknown,GEO_1,5.817313308666667,1
15,ENTERPRISE,Manufacturing,GEO_2,5.812281315,0
16,COMMERCIAL,Professional Services,GEO_2,5.8093559705,0
17,COMMERCIAL,Government,GEO_2,5.807345301,0
18,PUBLIC SECTOR,Government,GEO_3,5.8063075416666665,1
19,SMB,Health Care,GEO_2,5.8045803795,0
20,COMMERCIAL,WholeSale/Distribution,GEO_3,5.803339559,0
21,PUBLIC SECTOR,Government,GEO_2,5.802377524500001,0
22,PUBLIC SECTOR,Education- Public/Private,GEO_2,5.801612308,0
23,COMMERCIAL,Media/Entertainment,GEO_2,5.800273541999999,0
24,COMMERCIAL,Health Care,GEO_2,5.799824819,0
25,ENTERPRISE,Financial Services,GEO_1,5.798467509,0
26,COMMERCIAL,Professional Services,GEO_2,5.795362983,0
27,COMMERCIAL,Retail,GEO_2,5.793306986999999,1
28,ENTERPRISE,Technical Services,GEO_1,5.792592732,0
29,SERVICE PROVIDER,Service Provider,GEO_3,5.789516471,0
30,ENTERPRISE,Health Care,GEO_2,5.7822630872,0
31,COMMERCIAL,Health Care,GEO_2,5.777698686,0
32,PUBLIC SECTOR,Government,GEO_2,5.771999981,0
33,PUBLIC SECTOR,Health Care,GEO_1,5.771825583,0
34,ENTERPRISE,Manufacturing,GEO_2,5.769066701,0
35,ENTERPRISE,Manufacturing,GEO_2,5.761762905,0
36,COMMERCIAL,Professional Services,GEO_2,5.759980806,0
37,ENTERPRISE,Manufacturing,GEO_2,5.758655186,0
38,ENTERPRISE,Financial Services,GEO_2,5.751811704,0
39,COMMERCIAL,Retail,GEO_3,5.751365264,0
40,ENTERPRISE,Health Care,GEO_2,5.748905251,1
41,PUBLIC SECTOR,Government,GEO_1,5.729407274,0
42,PUBLIC SECTOR,Transportation,GEO_2,5.728938841,0
43,ENTERPRISE,Manufacturing,GEO_1,5.727821326,0
44,PUBLIC SECTOR,Education- Public/Private,GEO_2,5.727696909,0
45,PUBLIC SECTOR,Education- Public/Private,GEO_2,5.724746446,0
46,SERVICE PROVIDER,Service Provider,GEO_1,5.724360551,0
47,SERVICE PROVIDER,Government,GEO_3,5.723368716,0
48,ENTERPRISE,Professional Services,GEO_2,5.720787082499999,0
49,PUBLIC SECTOR,Government,GEO_2,5.718608845,0
50,COMMERCIAL,Professional Services,GEO_2,5.7166819245,0
51,ENTERPRISE,Financial Services,GEO_2,5.713781138,0
52,ENTERPRISE,Technical Services,GEO_2,5.71346377675,0
53,COMMERCIAL,Manufacturing,GEO_2,5.711270623,0
54,SERVICE PROVIDER,Service Provider,GEO_2,5.708487652,0
55,PUBLIC SECTOR,Education- Public/Private,GEO_2,5.703603838,0
56,PUBLIC SECTOR,Education- Public/Private,GEO_2,5.695634318,0
57,ENTERPRISE,Financial Services,GEO_3,5.691191185,0
58,PUBLIC SECTOR,Health Care,GEO_2,5.6884557795,0
59,COMMERCIAL,Retail,GEO_2,5.688150181,0
60,PUBLIC SECTOR,Transportation,GEO_1,5.679841907,0
61,SMB,Transportation,GEO_2,5.679479031,0
62,PUBLIC SECTOR,Unknown,GEO_1,5.676449368,0
63,COMMERCIAL,Retail,GEO_2,5.675065303,0
64,PUBLIC SECTOR,Retail,GEO_1,5.658415410333333,1
65,COMMERCIAL,Financial Services,GEO_3,5.656912778,0
66,ENTERPRISE,Financial Services,GEO_2,5.6567835525,0
67,PUBLIC SECTOR,Government,GEO_1,5.653539151,0
68,ENTERPRISE,Unknown,GEO_1,5.650010708,0
69,COMMERCIAL,Transportation,GEO_2,5.648634066,0
70,PUBLIC SECTOR,Government,GEO_2,5.646925931,0
71,PUBLIC SECTOR,Health Care,GEO_1,5.6451049095000005,0
72,COMMERCIAL,Retail,GEO_2,5.644853437,1
73,PUBLIC SECTOR,Government,GEO_2,5.644477762,0
74,SMB,WholeSale/Distribution,GEO_1,5.64246059,0
75,ENTERPRISE,Financial Services,GEO_1,5.641177146,0
76,ENTERPRISE,Financial Services,GEO_2,5.639382344,0
77,PUBLIC SECTOR,Education- Public/Private,GEO_1,5.638367467,0
78,COMMERCIAL,Technical Services,GEO_2,5.63500593,0
79,COMMERCIAL,Financial Services,GEO_1,5.634508241,0
80,ENTERPRISE,Manufacturing,GEO_1,5.619661689,0
81,PUBLIC SECTOR,Government,GEO_2,5.61362525475,0
82,ENTERPRISE,Manufacturing,GEO_3,5.611064156,0
83,COMMERCIAL,Manufacturing,GEO_2,5.610977718,0
84,PUBLIC SECTOR,Government,GEO_1,5.607543529,0
85,PUBLIC SECTOR,Education- Public/Private,GEO_2,5.605164619,0
86,COMMERCIAL,Retail,GEO_2,5.600513086333334,0
87,COMMERCIAL,Manufacturing,GEO_2,5.597514318,0
88,SERVICE PROVIDER,Service Provider,GEO_3,5.5972627805,0
89,ENTERPRISE,Transportation,GEO_2,5.5970024576,1
90,PUBLIC SECTOR,Government,GEO_2,5.590850577,0
91,COMMERCIAL,Unknown,GEO_2,5.590798063333334,1
92,ENTERPRISE,Financial Services,GEO_3,5.590792859,0
93,ENTERPRISE,Health Care,GEO_2,5.5890496544,0
94,PUBLIC SECTOR,Education- Public/Private,GEO_1,5.581479363,0
95,ENTERPRISE,Financial Services,GEO_1,5.5808458094999995,0
96,PUBLIC SECTOR,Education- Public/Private,GEO_2,5.579280336,0
97,COMMERCIAL,WholeSale/Distribution,GEO_1,5.578874641,0
98,COMMERCIAL,Financial Services,GEO_3,5.578797535,0
99,PUBLIC SECTOR,Financial Services,GEO_2,5.576301582,0
100,PUBLIC SECTOR,Government,GEO_1,5.568152087,0
101,PUBLIC SECTOR,Professional Services,GEO_2,5.567924263,0
102,PUBLIC SECTOR,Education- Public/Private,GEO_2,5.563506381333333,1
103,PUBLIC SECTOR,Government,GEO_2,5.559614967,0
104,COMMERCIAL,Professional Services,GEO_1,5.559209707,0
105,COMMERCIAL,Transportation,GEO_2,5.554567836333334,0
106,ENTERPRISE,Transportation,GEO_2,5.552049255,0
107,PUBLIC SECTOR,Transportation,GEO_2,5.5507814626666665,0
108,COMMERCIAL,Professional Services,GEO_2,5.550680056,1
109,PUBLIC SECTOR,Government,GEO_2,5.549053198499999,0
110,ENTERPRISE,Transportation,GEO_2,5.547302371333333,0
111,COMMERCIAL,Professional Services,GEO_2,5.5463685675,0
112,PUBLIC SECTOR,Technical Services,GEO_3,5.540434331,0
113,ENTERPRISE,Financial Services,GEO_2,5.539039599,0
114,PUBLIC SECTOR,Government,GEO_1,5.536133734,0
115,ENTERPRISE,Manufacturing,GEO_2,5.532344108,0
116,COMMERCIAL,Financial Services,GEO_3,5.529885797,0
117,ENTERPRISE,Financial Services,GEO_1,5.527360567000001,0
118,COMMERCIAL,Financial Services,GEO_1,5.5269871885,0
119,COMMERCIAL,Professional Services,GEO_1,5.51952714,0
120,PUBLIC SECTOR,Professional Services,GEO_1,5.51952714,0
121,ENTERPRISE,Energy/Utilities,GEO_1,5.518464251199999,0
122,COMMERCIAL,Retail,GEO_2,5.51741838,0
123,PUBLIC SECTOR,Government,GEO_2,5.511894756,0
124,COMMERCIAL,Manufacturing,GEO_2,5.5112215645,0
125,COMMERCIAL,Financial Services,GEO_1,5.50426078,0
126,COMMERCIAL,Professional Services,GEO_2,5.5021541885,0
127,PUBLIC SECTOR,Government,GEO_2,5.5008612005,0
128,PUBLIC SECTOR,Transportation,GEO_1,5.500404471,0
129,PUBLIC SECTOR,Education- Public/Private,GEO_2,5.4961347205,0
130,ENTERPRISE,Technical Services,GEO_3,5.494622615,0
131,PUBLIC SECTOR,Education- Public/Private,GEO_2,5.49450186,0
132,COMMERCIAL,Financial Services,GEO_1,5.492918893,0
133,PUBLIC SECTOR,Financial Services,GEO_1,5.492247801,0
134,SERVICE PROVIDER,Media/Entertainment,GEO_1,5.491334083,0
135,ENTERPRISE,Manufacturing,GEO_2,5.490723125,0
136,PUBLIC SECTOR,Government,GEO_3,5.490359627,0
137,COMMERCIAL,Financial Services,GEO_3,5.4903077,0
138,COMMERCIAL,Retail,GEO_2,5.48784261625,1
139,COMMERCIAL,Professional Services,GEO_2,5.484237995,0
140,PUBLIC SECTOR,Government,GEO_2,5.476824185,0
141,COMMERCIAL,Health Care,GEO_2,5.47566391,0
142,PUBLIC SECTOR,Education- Public/Private,GEO_1,5.474784612,0
143,PUBLIC SECTOR,Government,GEO_2,5.4736977375,0
144,ENTERPRISE,Health Care,GEO_2,5.473351773,0
145,COMMERCIAL,Financial Services,GEO_2,5.473071844,0
146,PUBLIC SECTOR,Government,GEO_1,5.472685889,0
147,ENTERPRISE,Professional Services,GEO_1,5.471773371,0
148,COMMERCIAL,Unknown,GEO_2,5.4712725765000005,1
149,COMMERCIAL,Professional Services,GEO_2,5.470977585,0
150,PUBLIC SECTOR,Government,GEO_1,5.470810613,0
151,COMMERCIAL,Retail,GEO_2,5.468464266,0
152,SERVICE PROVIDER,Service Provider,GEO_3,5.468368776,0
153,COMMERCIAL,Manufacturing,GEO_2,5.468253855,0
154,PUBLIC SECTOR,Education- Public/Private,GEO_2,5.4657672475000005,0
155,PUBLIC SECTOR,Government,GEO_2,5.4648311805,0
156,COMMERCIAL,Retail,GEO_2,5.460997858,0
157,PUBLIC SECTOR,Education- Public/Private,GEO_2,5.457511243,0
158,PUBLIC SECTOR,Government,GEO_2,5.45640347,0
159,PUBLIC SECTOR,Media/Entertainment,GEO_1,5.45556924,0
160,ENTERPRISE,Transportation,GEO_1,5.454352055166667,1
161,COMMERCIAL,Manufacturing,GEO_2,5.4540948836666665,0
162,SMB,Professional Services,GEO_2,5.451241932,0
163,COMMERCIAL,Manufacturing,GEO_2,5.451107254,0
164,ENTERPRISE,Health Care,GEO_2,5.450700175461539,1
165,PUBLIC SECTOR,Unknown,GEO_1,5.4497823006249995,0
166,PUBLIC SECTOR,Financial Services,GEO_1,5.4444399924999995,1
167,PUBLIC SECTOR,Government,GEO_2,5.440910874,0
168,ENTERPRISE,Financial Services,GEO_1,5.439311405333334,0
169,COMMERCIAL,Retail,GEO_2,5.437929487,1
170,ENTERPRISE,Financial Services,GEO_1,5.437489162,0
171,COMMERCIAL,Technical Services,GEO_2,5.433600290555556,1
172,COMMERCIAL,Retail,GEO_2,5.433405551,1
173,ENTERPRISE,Financial Services,GEO_1,5.432589924,0
174,COMMERCIAL,Financial Services,GEO_2,5.430943507,0
175,COMMERCIAL,Retail,GEO_1,5.429633363,0
176,PUBLIC SECTOR,Government,GEO_3,5.428363706777778,0
177,COMMERCIAL,Manufacturing,GEO_3,5.428056137,0
178,ENTERPRISE,Manufacturing,GEO_1,5.4242476664999995,0
179,PUBLIC SECTOR,Government,GEO_2,5.421557337,0
180,ENTERPRISE,Financial Services,GEO_2,5.419033122,0
181,PUBLIC SECTOR,Government,GEO_1,5.416756746333334,0
182,COMMERCIAL,WholeSale/Distribution,GEO_1,5.416249877,0
183,PUBLIC SECTOR,Government,GEO_3,5.415781471,0
184,PUBLIC SECTOR,Government,GEO_3,5.415474828,0
185,ENTERPRISE,Financial Services,GEO_1,5.414839359,0
186,COMMERCIAL,Media/Entertainment,GEO_2,5.412690421333333,1
187,PUBLIC SECTOR,Energy/Utilities,GEO_2,5.41250238025,0
188,PUBLIC SECTOR,Government,GEO_3,5.4124079475,0
189,COMMERCIAL,Manufacturing,GEO_3,5.411305725,0
190,PUBLIC SECTOR,Professional Services,GEO_1,5.410069069,0
191,PUBLIC SECTOR,Unknown,GEO_1,5.409807986,0
192,COMMERCIAL,Technical Services,GEO_2,5.408775442,0
193,COMMERCIAL,Retail,GEO_1,5.408497494,0
194,ENTERPRISE,Financial Services,GEO_2,5.408444866,0
195,COMMERCIAL,Technical Services,GEO_2,5.405569863,0
196,COMMERCIAL,Manufacturing,GEO_1,5.403921555,0
197,PUBLIC SECTOR,Government,GEO_3,5.403388488,0
198,COMMERCIAL,Health Care,GEO_2,5.402988255,0
199,COMMERCIAL,Retail,GEO_1,5.402298955,0
200,COMMERCIAL,Government,GEO_1,5.401400057,0
201,PUBLIC SECTOR,Education- Public/Private,GEO_2,5.399069856,0
202,PUBLIC SECTOR,Education- Public/Private,GEO_2,5.398751039,0
203,PUBLIC SECTOR,Government,GEO_2,5.39796230225,0
204,PUBLIC SECTOR,Government,GEO_1,5.395896977666666,0
205,COMMERCIAL,Professional Services,GEO_2,5.395455311,0
206,COMMERCIAL,Professional Services,GEO_2,5.395259896,0
207,PUBLIC SECTOR,Government,GEO_2,5.392257928,0
208,COMMERCIAL,Professional Services,GEO_2,5.391281406999999,0
209,COMMERCIAL,Financial Services,GEO_2,5.389650124,0
210,PUBLIC SECTOR,Government,GEO_2,5.384696404,0
211,PUBLIC SECTOR,Government,GEO_2,5.383457071333333,0
212,PUBLIC SECTOR,Professional Services,GEO_1,5.3830917036666674,0
213,SERVICE PROVIDER,Professional Services,GEO_3,5.3805208140000005,0
214,PUBLIC SECTOR,Technical Services,GEO_1,5.379481824,0
215,PUBLIC SECTOR,Education- Public/Private,GEO_2,5.377894522,0
216,COMMERCIAL,WholeSale/Distribution,GEO_2,5.3726652076666666,0
217,PUBLIC SECTOR,Professional Services,GEO_2,5.3724833405000005,0
218,PUBLIC SECTOR,Education- Public/Private,GEO_1,5.372349793,0
219,SMB,Professional Services,GEO_2,5.372141351,0
220,PUBLIC SECTOR,Government,GEO_3,5.371591630666667,0
221,ENTERPRISE,Health Care,GEO_2,5.36942697075,0
222,PUBLIC SECTOR,Education- Public/Private,GEO_2,5.3692301,0
223,PUBLIC SECTOR,Energy/Utilities,GEO_2,5.368169773,0
224,COMMERCIAL,Unknown,GEO_1,5.367963759,0
225,ENTERPRISE,Government,GEO_1,5.366933754,0
226,PUBLIC SECTOR,Government,GEO_1,5.365613557,0
227,ENTERPRISE,Technical Services,GEO_3,5.365489993,0
228,ENTERPRISE,Retail,GEO_2,5.36531619675,1
229,COMMERCIAL,Retail,GEO_1,5.364881650499999,0
230,COMMERCIAL,Financial Services,GEO_2,5.363184539,0
231,COMMERCIAL,Manufacturing,GEO_1,5.363100579,0
232,PUBLIC SECTOR,Government,GEO_1,5.361494574000001,0
233,COMMERCIAL,Media/Entertainment,GEO_1,5.360724525,0
234,PUBLIC SECTOR,Government,GEO_2,5.359679148,0
235,SMB,Professional Services,GEO_2,5.359177912,0
236,ENTERPRISE,Transportation,GEO_1,5.356971597,0
237,PUBLIC SECTOR,Education- Public/Private,GEO_2,5.3548081105000005,0
238,PUBLIC SECTOR,Health Care,GEO_1,5.353776621,0
239,COMMERCIAL,Financial Services,GEO_2,5.349645287,0
240,COMMERCIAL,Manufacturing,GEO_1,5.348966835,0
241,PUBLIC SECTOR,Manufacturing,GEO_1,5.348547453,0
242,PUBLIC SECTOR,Government,GEO_2,5.346461213,0
243,COMMERCIAL,Financial Services,GEO_2,5.34598173725,0
244,COMMERCIAL,Financial Services,GEO_3,5.342253061,0
245,COMMERCIAL,WholeSale/Distribution,GEO_1,5.339811852666666,1
246,COMMERCIAL,Financial Services,GEO_2,5.339018094,0
247,COMMERCIAL,Media/Entertainment,GEO_2,5.338428899,0
248,PUBLIC SECTOR,Education- Public/Private,GEO_2,5.338132701999999,0
249,COMMERCIAL,Media/Entertainment,GEO_1,5.337022505,0
250,COMMERCIAL,Education- Public/Private,GEO_2,5.336173644,0
251,PUBLIC SECTOR,Unknown,GEO_1,5.33612706,0
252,COMMERCIAL,Technical Services,GEO_2,5.334206207,0
253,COMMERCIAL,Government,GEO_1,5.333399777,0
254,COMMERCIAL,Health Care,GEO_2,5.33278682,0
255,PUBLIC SECTOR,Education- Public/Private,GEO_2,5.330404146,0
256,PUBLIC SECTOR,Education- Public/Private,GEO_2,5.326753331666667,1
257,COMMERCIAL,Financial Services,GEO_1,5.324702123,0
258,ENTERPRISE,Financial Services,GEO_2,5.3244371565,0
